model,dataset,config,bin_idx,bin_mid,n,mean_accept_rate,ci_lo,ci_hi,signal
llama,livecodebench,static_7_4_8,7,0.75,177,0.3623890234059725,0.3317910170924826,0.3929870297194624,top1_prob
llama,livecodebench,static_7_4_8,8,0.8500000000000001,219,0.4520547945205479,0.4156718880103479,0.48843770103074796,top1_prob
llama,livecodebench,static_7_4_8,9,0.95,1214,0.7085196516827488,0.6902272092499898,0.7268120941155077,top1_prob
llama,math500,static_7_4_8,0,0.05,82,0.19860627177700346,0.17594344431652076,0.22126909923748617,top1_prob
llama,math500,static_7_4_8,1,0.15000000000000002,115,0.26708074534161486,0.23624072768243834,0.2979207630007914,top1_prob
llama,math500,static_7_4_8,2,0.25,118,0.29539951573849876,0.26124208229057255,0.329556949186425,top1_prob
llama,math500,static_7_4_8,3,0.35000000000000003,156,0.3489010989010988,0.3199514032852785,0.37785079451691916,top1_prob
llama,math500,static_7_4_8,4,0.45,181,0.3985793212312549,0.3684186441925724,0.42873999826993736,top1_prob
llama,math500,static_7_4_8,5,0.55,201,0.417910447761194,0.3846898527861372,0.4511310427362508,top1_prob
llama,math500,static_7_4_8,6,0.6500000000000001,183,0.46057767369242775,0.4214072108022968,0.4997481365825587,top1_prob
llama,math500,static_7_4_8,7,0.75,205,0.48292682926829267,0.4440473661950093,0.521806292341576,top1_prob
llama,math500,static_7_4_8,8,0.8500000000000001,273,0.5353218210361066,0.5024802224173187,0.5681634196548945,top1_prob
llama,math500,static_7_4_8,9,0.95,1364,0.6984708839547548,0.682186588156436,0.7147551797530736,top1_prob
llama,mtbench,static_7_4_8,0,0.05,40,0.2285714285714285,0.17966125449481,0.27748160264804705,top1_prob
llama,mtbench,static_7_4_8,1,0.15000000000000002,155,0.2672811059907833,0.241433045692743,0.29312916628882363,top1_prob
llama,mtbench,static_7_4_8,2,0.25,200,0.3257142857142857,0.29812819935170026,0.3533003720768711,top1_prob
llama,mtbench,static_7_4_8,3,0.35000000000000003,237,0.3441832429174201,0.31864481343860473,0.36972167239623543,top1_prob
llama,mtbench,static_7_4_8,4,0.45,310,0.44009216589861755,0.4134233457504458,0.4667609860467893,top1_prob
llama,mtbench,static_7_4_8,5,0.55,284,0.4582494969818912,0.43044136346945233,0.4860576304943301,top1_prob
llama,mtbench,static_7_4_8,6,0.6500000000000001,252,0.5119047619047619,0.4797289775657454,0.5440805462437783,top1_prob
llama,mtbench,static_7_4_8,7,0.75,286,0.5344655344655344,0.5019551269866067,0.566975941944462,top1_prob
llama,mtbench,static_7_4_8,8,0.8500000000000001,349,0.5726565697912402,0.54374402917356,0.6015691104089205,top1_prob
llama,mtbench,static_7_4_8,9,0.95,1426,0.6588859947906232,0.6435568117386875,0.6742151778425588,top1_prob
qwen,livecodebench,static_7_4_8,0,0.05,154,0.19758812615955468,0.18250235077263904,0.2126739015464703,top1_prob
qwen,livecodebench,static_7_4_8,1,0.15000000000000002,879,0.23256947830326666,0.22496434931994988,0.24017460728658344,top1_prob
qwen,livecodebench,static_7_4_8,2,0.25,1612,0.25194966323998574,0.2463437983627069,0.25755552811726456,top1_prob
qwen,livecodebench,static_7_4_8,3,0.35000000000000003,1910,0.281451009723261,0.27572791471936203,0.28717410472715993,top1_prob
qwen,livecodebench,static_7_4_8,4,0.45,1949,0.3044051894744557,0.29826187743634225,0.3105485015125692,top1_prob
